SA2011,residents,children,elderly
N00002840,1431,206,170
N00002875,1081,139,201
N00002876,531,78,63
N00002878,205,17,54
N00002912,345,38,69
N00002913,309,25,53
N00002914,1272,229,119
N00002915,217,18,61
N00002916,443,65,47
N00002917,308,34,61
N00002918,339,26,63
N00002919,391,43,55
N00002920,375,49,75
N00002921,309,31,52
N00002922,468,65,59
N00002923,351,44,70
N00002924,386,31,56
N00002925,311,43,48
N00002926,368,46,45
N00002927,390,48,54
N00002928,358,51,61
N00002929,727,101,112
N00002930,416,37,64
N00002931,628,134,51
N00002932,393,38,60
N00002933,522,65,72
N00002934,429,59,53
N00002935,402,46,58
N00002936,395,33,71
N00002937,409,53,51
N00002938,420,49,62
N00002939,411,56,70
N00002940,388,56,64
N00002941,312,44,58
N00002942,427,46,59
N00002943,288,33,17
N00002944,633,123,16
N00002945,378,48,54
N00002948,345,39,41
N00002949,360,46,48
N00002950,396,33,40
N00002951,231,12,52
N00002952,326,36,56
N00002953,226,22,43
N00002946,297,55,19
N00002947,396,75,21
N00002954,639,64,73
N00002955,438,62,65
N00002956,358,39,38
N00002957,378,52,57
N00002958,453,67,74
N00002959,546,102,53
N00002960,350,38,49
N00002961,326,54,47
N00002962,374,54,46
N00002963,368,47,44
N00002964,373,49,63
N00002965,311,40,49
N00002966,576,90,58
N00002967,277,26,44
N00002968,279,26,57
N00002969,218,22,64
N00002970,281,27,69
N00002971,365,39,35
N00002972,287,37,27
N00002973,407,56,68
N00002974,324,52,44
N00002975,488,51,79
N00002976,308,29,63
N00002977,410,56,69
N00002978,450,60,49
N00002979,408,48,62
N00002980,398,49,52
N00002981,250,22,74
N00002982,516,54,47
N00002983,320,40,54
N00002984,213,41,11
N00002985,140,17,16
N00002986,382,49,70
N00002987,469,78,48
N00002988,462,68,74
N00002989,500,69,65
N00002990,355,30,61
N00002991,349,37,48
N00002992,495,85,75
N00002993,228,37,17
N00002994,635,100,63
N00002995,691,144,81
N00002996,235,30,67
N00002997,290,42,59
N00002998,256,26,51
N00002999,253,24,40
N00003003,1353,185,203
N00003000,481,91,50
N00003001,265,41,35
N00003002,809,88,119
N00003004,262,15,37
N00003005,482,60,79
N00003006,440,67,38
N00003007,493,81,49
N00003008,635,100,86
N00003009,513,81,57
N00003010,414,87,54
N00003011,302,32,38
N00003012,393,57,37
N00003013,408,41,74
N00003014,422,48,69
N00003015,394,45,60
N00003016,303,30,58
N00003017,381,40,75
N00003018,239,32,40
N00003019,539,69,64
N00003020,440,56,42
N00003021,383,54,32
N00003022,303,45,61
N00003023,250,26,26
N00003024,426,45,86
N00003025,341,64,27
N00003026,543,82,59
N00003027,436,37,68
N00003028,449,45,65
N00003029,513,60,60
N00003030,380,37,55
N00003031,469,52,69
N00003032,357,62,56
N00003033,450,83,55
N00003034,231,29,15
N00003035,376,42,41
N00003036,345,41,59
N00003037,393,65,60
N00003038,350,51,48
N00003039,314,32,57
N00003040,432,23,91
N00003041,437,79,33
N00003042,254,25,29
N00003043,203,34,36
N00003044,356,41,83
N00003045,785,99,84
N00003046,336,43,26
N00003047,417,48,48
N00003048,428,58,67
N00003049,323,32,58
N00003050,342,49,59
N00003051,377,60,50
N00003052,280,31,47
N00003053,231,19,52
N00003054,320,32,73
N00003055,369,56,37
N00003056,337,31,64
N00003057,276,38,41
N00003058,322,51,36
N00003059,315,38,30
N00003060,274,20,81
N00003061,478,73,57
N00003062,437,58,59
N00003063,517,65,68
N00003064,440,66,56
N00003065,341,41,47
N00003066,377,38,60
N00004363,472,59,46
N00004374,469,81,56
N00004377,465,70,57
N00004441,550,74,57
N00004442,545,89,69
N00004443,612,103,83
N00004445,405,70,61
N00004466,413,58,70
